BirdID,Sex,AgeY,AgeClass,BirthFPID,U_PlateID,RTL,Technician,Terr,FPID,mum,dad,MAC,PAC,BrF,BrM
5511,0,0.246575342465753,J,103,9_3,1.06,1,10,104,4863,1762,3.92054794520548,7.44383561643836,4863,1762
5559,1,3.5972602739726,A,103,9_1,0.52,1,77.1,122,1716,1877,7.41643835616438,6.23561643835616,1716,4892
5559,1,4.71506849315069,A,103,9_28,1.07,1,77.1,125,1716,1877,7.41643835616438,6.23561643835616,1716,4892
5559,1,0.657534246575342,SA,103,9_2,0.99,1,111,104,1716,1877,7.41643835616438,6.23561643835616,1716,4892
5527,1,0.328767123287671,OFL,103,9_3,1.02,1,131,104,4936,1710,3.45205479452055,7.77808219178082,1707,1710
5539,1,1.96438356164384,A,103,9_12,0.36,1,9,110,4961,5167,3.12328767123288,2.10958904109589,4961,5167
5539,1,0.657534246575342,SA,103,9_20,0.61,1,133,104,4961,5167,3.12328767123288,2.10958904109589,4961,5167
5536,0,1.25205479452055,A,103,9_23,0.93,1,2,105,1763,3093,7.75616438356164,5.35616438356164,1763,4829
5536,0,0.328767123287671,OFL,103,9_16,0.47,1,2,104,1763,3093,7.75616438356164,5.35616438356164,1763,4829
5536,0,4.24931506849315,A,103,9_19,0.96,1,2,125,1763,3093,7.75616438356164,5.35616438356164,1763,4829
5536,0,3.47123287671233,A,103,9_22,0.66,1,134,122,1763,3093,7.75616438356164,5.35616438356164,1763,4829
5541,1,0.657534246575342,SA,103,9_23,0.97,1,30.2,104,1854,1543,6.26027397260274,10.6356164383562,NA,1029
5533,0,0.328767123287671,OFL,103,9_9,0.95,1,35,104,1361,1698,11.5506849315068,8.48493150684932,1361,1698
5549,0,2.58904109589041,A,103,9_6,0.49,1,130,116,5123,4934,2.43287671232877,3.22465753424658,1042,1577
5549,0,0.657534246575342,SA,103,9_8,0.37,1,130,104,5123,4934,2.43287671232877,3.22465753424658,1042,1577
5509,1,1.31506849315068,SA,103,9_21,0.84,1,112,105,5123,1577,2.67123287671233,9.8958904109589,1042,1577
5509,1,0.328767123287671,OFL,103,9_28,0.82,1,46,104,5123,1577,2.67123287671233,9.8958904109589,1042,1577
5562,0,0.328767123287671,OFL,103,9_11,1.41,1,5,104,1605,4939,9.44383561643836,3.93150684931507,1605,4939
5573,0,0.657534246575342,SA,103,9_3,0.74,1,51.2,104,5168,1031,2.16438356164384,13.5068493150685,5168,1031
5573,0,1.67671232876712,A,103,9_21,1.03,1,51.2,105,5168,1031,2.16438356164384,13.5068493150685,5168,1031
